"old1","old2","lat","long"
795505.3479,9486196.7954,-4.64340368340104,29.6633649397154
795451.8751,9486058.9997,-4.64465074680923,29.6628880188409
795307.4376,9485934.9997,-4.64577623631275,29.661591366826
795270.7501,9485834.9997,-4.64668117415349,29.6612643362151
795229.8126,9485654.9997,-4.64830920877113,29.6609017415931
794972.0001,9485432.9997,-4.65032417495639,29.6585872975849
794836.8751,9485128.9997,-4.65307599562076,29.6573806048217
794820.6251,9485084.9997,-4.65347417316625,29.6572357411811
794824.3126,9485038.9997,-4.65388974616174,29.6572705127541
794811.7501,9484882.9997,-4.65529993378032,29.657162659852
794905.8126,9484713.9997,-4.65682397045227,29.658015572867
794790.7501,9484454.9997,-4.65916845226445,29.6569880475032
794754.5626,9484177.9997,-4.66167291342717,29.6566715274498
794632.1251,9483903.9997,-4.6641532049284,29.6555780840259
794370.7501,9483614.9997,-4.66677378814158,29.6532337773346
794331.4376,9483526.9997,-4.66757037931939,29.6528826892012
794116.8751,9483478.9997,-4.66801146202217,29.6509518116336
794070.1876,9483315.9997,-4.66948607765939,29.6505368412312
794042.6876,9483001.9997,-4.67232462284426,29.6502998158452
793906.8751,9482908.9997,-4.67316968865215,29.649079736118
793892.6251,9482419.9997,-4.67758925673702,29.6489679986225
793798.4376,9482202.9997,-4.67955349325583,29.6481270363675
793574.8126,9482043.9997,-4.68099799872961,29.6461182648683
793529.3126,9481888.9997,-4.68240028462716,29.6457137143781
793456.8751,9481828.9997,-4.68294497402428,29.6450633103814
793433.6251,9481550.9997,-4.68545805433221,29.6448633441674
793308.6251,9481270.9997,-4.68799268001666,29.6437469824756
793212.0001,9481158.9997,-4.68900812110934,29.6428804821257
792938.1876,9480986.9997,-4.69057182456341,29.6404200727264
792900.7501,9480884.9997,-4.69149487844821,29.6400863336871
792878.6108,9480704.3293,-4.69312835880803,29.6398930603173
792829.6251,9480648.9997,-4.69363004473498,29.6394537188127
792736.8751,9480568.9997,-4.69435617010729,29.6386210225194
792720.1876,9480495.9997,-4.69501644358885,29.6384731953689
792690.7501,9480226.9997,-4.69744841405725,29.6382171872717
792621.8126,9480040.9997,-4.69913165714999,29.6376025741087
792513.5626,9479861.9997,-4.70075298273376,29.6366336238566
792330.1876,9479655.9997,-4.70262087221949,29.6349889148753
792316.8751,9479488.9997,-4.70413051763582,29.63487468139
792364.7364,9479292.6183,-4.70590359778678,29.6353124618179
792327.2063,9479217.558,-4.70658320388299,29.6349769682379
792241.5626,9479072.9997,-4.70789251089178,29.6342104611955
792124.6876,9478982.9997,-4.7087098363016,29.6331607839784
792057.0001,9478870.9997,-4.70972429951827,29.6325549040632
791996.3126,9478716.9997,-4.71111808228191,29.6320135032223
791989.4349,9478570.8847,-4.71243877193857,29.6319565225674
791986.8751,9478528.9997,-4.71281737798127,29.6319348901656
792001.5626,9478393.9997,-4.71403688417204,29.632071780698
792151.5626,9478207.9997,-4.71571265881281,29.6334292345972
792027.6251,9477906.9997,-4.71843705721766,29.6323231200877
791941.5626,9477823.9997,-4.71919007708969,29.6315507365561
791926.8751,9477808.9997,-4.71932613543255,29.631418949197
791892.4376,9477471.9997,-4.72237281411644,29.6311202326823
791686.3068,9477323.7289,-4.7237197989635,29.6292685406776
791530.4123,9477265.9902,-4.7242469170071,29.6278662680477
791433.0001,9477222.9997,-4.72463875482159,29.6269902778343
791340.7501,9477164.9997,-4.72516605865426,29.6261612962985
791206.8751,9477058.9997,-4.72612856591162,29.6249590020513
791233.1876,9476907.9997,-4.72749227566759,29.6252011557216
791380.5626,9476705.9997,-4.72931274157598,29.6265355446144
791430.1876,9476531.9997,-4.73088350503415,29.626988482148
791494.6251,9476443.9997,-4.73167656778749,29.6275719178334
791443.5626,9476356.9997,-4.73246454434637,29.6271149269451
791403.5001,9476171.9997,-4.73413778320182,29.6267603628949
791283.5626,9476021.9997,-4.73549745651599,29.6256851079575
791266.8751,9476008.9997,-4.73561551020297,29.6255352337127
791333.0001,9475905.9997,-4.73654407199231,29.626134387786
791413.6251,9475700.9997,-4.73839392250051,29.626867639027
791391.8395,9475478.9778,-4.74040110837518,29.6266789790008
791365.8571,9475403.9175,-4.74108032799891,29.6264474968123
791305.0626,9475260.9997,-4.74237397766659,29.6259047491336
791223.8126,9475061.9997,-4.74417515136841,29.6251796550131
791189.9376,9475005.9997,-4.74468239188785,29.6248764248454
791133.5626,9474867.9997,-4.74593144907189,29.6243733170258
791056.8751,9474808.9997,-4.74646726857405,29.6236845356798
791083.5626,9474734.9997,-4.74713510263177,29.6239274633396
790996.8751,9474328.9997,-4.75080715570388,29.623160457954
790960.1251,9474275.9997,-4.75128738481147,29.6228312249924
790904.0162,9474237.2767,-4.7516392543613,29.6223271182062
790889.1251,9474226.9997,-4.75173263975701,29.6221933299788
790815.6251,9474119.9997,-4.75270213550143,29.6215348958444
790740.3674,9474053.3646,-4.7533069076509,29.620859247496
790711.0445,9474027.8253,-4.75353871567172,29.6205959776292
788605.5223,9474753.1535,-4.74705561667268,29.6016045657117
788605.5223,9474753.1535,-4.74705561667268,29.6016045657117
788597.2941,9474762.7759,-4.74696893572156,29.6015301191834
788590.4899,9474794.3541,-4.74668378507858,29.6014677565916
788605.2195,9474833.2429,-4.74633183461365,29.6015991253453
788636.5949,9474895.0609,-4.74577210046058,29.601879664532
788642.5042,9474906.0284,-4.74567278305233,29.6019325246384
788671.1698,9474958.8716,-4.74519424909225,29.6021889573437
788685.2018,9474992.7738,-4.74488738793764,29.60231421063
788691.8287,9475020.6965,-4.7446348169521,29.6023729606387
788707.3531,9475047.616,-4.74439100990384,29.6025118939885
788727.1257,9475066.5536,-4.74421919334936,29.6026893656886
788744.0915,9475093.4722,-4.74397534550013,29.6028412831497
788762.3124,9475121.3874,-4.74372244846004,29.6030044728014
788820.6868,9475176.206,-4.74322505312241,29.603528456165
788867.6288,9475215.0738,-4.74287219830261,29.6039499955017
788878.118,9475229.0305,-4.74274571110482,29.6040440099164
788895.8935,9475252.9564,-4.74252888176021,29.6042033218858
788917.3255,9475289.846,-4.74219477149705,29.6043951325045
788939.7801,9475338.7037,-4.74175246739752,29.6045957491893
788954.3894,9475380.5847,-4.74137348040577,29.6047259314422
788957.9156,9475390.5563,-4.74128324439336,29.6047573577532
788978.7636,9475415.4776,-4.74105731505657,29.6049443127345
789002.861,9475472.3134,-4.74054285499772,29.6051594571606
789011.1456,9475517.1907,-4.74013700470329,29.605232564784
789026.5446,9475544.1103,-4.73989320145705,29.6053703671715
789045.9562,9475572.0247,-4.73964027159573,29.6055442812723
789064.7344,9475595.9499,-4.73942341479006,29.6057126247358
789069.763,9475604.9232,-4.73934214970619,29.6057576183597
789079.3781,9475620.8752,-4.7391976603219,29.6058436907183
789086.6944,9475648.7975,-4.73894507015925,29.6059086500451
789086.2213,9475665.7535,-4.73879185018166,29.6059038140556
789085.4976,9475682.7096,-4.73863863781373,29.6058967206841
789074.5458,9475729.5943,-4.73821529991809,29.6057964793023
789062.0701,9475764.5112,-4.7379001700392,29.6056829161704
789049.921,9475807.407,-4.73751292144396,29.6055720250696
789048.6515,9475835.3348,-4.73726057324408,29.6055596439422
789062.6868,9475871.2319,-4.73693568444528,29.6056848580813
789078.1286,9475886.1827,-4.73680004543701,29.6058234509793
789096.8358,9475905.121,-4.73662825937887,29.6059913233862
789111.4268,9475936.0307,-4.73634842430259,29.6061217118944
789122.0879,9475977.9143,-4.73596954858961,29.6062163285202
789144.1149,9475995.8531,-4.73580668259269,29.6064141390778
789187.371,9476041.705,-4.73539083723616,29.6068022347489
789230.0597,9476085.5626,-4.73499303421127,29.6071852864041
789233.0102,9476088.5528,-4.73496591074462,29.6072117630273
789314.9325,9476171.2832,-4.73421547110551,29.6079469105796
789383.7351,9476241.0559,-4.73358257940535,29.6085643145702
789426.9286,9476286.9079,-4.73316673543644,29.6089518438828
789446.0168,9476308.8382,-4.73296789710145,29.609123045377
789469.7642,9476343.7315,-4.73265175053978,29.6093357772103
789486.5404,9476369.6528,-4.7324169231314,29.6094860171179
789489.9955,9476374.6375,-4.73237175773292,29.6095169713756
789509.6067,9476409.5335,-4.73205572739978,29.6096924445074
789515.3729,9476447.4307,-4.73171304497562,29.6097431020618
789510.7359,9476485.3347,-4.73137065459195,29.6097000489015
789516.4971,9476520.2397,-4.73105501362124,29.6097507628777
789518.6501,9476571.1054,-4.7305952544109,29.6097684343078
789516.0085,9476603.0237,-4.73030689047647,29.6097435584236
789517.5364,9476654.8872,-4.72983813512914,29.6097555655316
789520.6095,9476693.7835,-4.7294865151401,29.609781930678
789526.953,9476739.6595,-4.72907170679586,29.6098375188154
789536.0523,9476784.5363,-4.72866583491253,29.6099179645918
789547.4621,9476824.4246,-4.72830496692384,29.6100193918044
789556.8898,9476878.2778,-4.72781796200892,29.6101024919679
789566.9702,9476910.1878,-4.72752924112306,29.6101922142394
789578.5763,9476955.063,-4.72712329873956,29.6102952409024
789586.8609,9476999.9403,-4.72671745019722,29.610368348118
789590.5523,9477033.8493,-4.72641088086346,29.6104004519727
789601.6521,9477075.7326,-4.72603199432144,29.6104990192911
789613.2727,9477091.6833,-4.72588744941555,29.6106031553554
789637.6302,9477116.6023,-4.72566142338133,29.6108217190362
789665.7612,9477149.498,-4.72536318186789,29.6110740034561
789691.8818,9477179.4028,-4.72509203812115,29.6113082796903
789699.7965,9477190.3689,-4.7249926661136,29.6113792023137
789714.7468,9477211.3045,-4.72480295847045,29.6115131625184
789731.843,9477241.2152,-4.72453206786327,29.6116661486627
789751.9145,9477289.077,-4.72409884791987,29.6118453279764
789754.5505,9477328.971,-4.72373822689267,29.6118677223557
789753.5384,9477360.8883,-4.72344981704792,29.6118575255951
789761.6233,9477398.784,-4.72310707017091,29.6119290699835
789774.2649,9477425.7054,-4.72286334598243,29.612042031221
789797.206,9477465.5862,-4.72250215504915,29.6122473289883
789807.2121,9477490.5145,-4.72227653249625,29.6123366176964
789817.4689,9477515.4427,-4.72205090235621,29.6124281646183
789825.3725,9477557.3281,-4.72167210594922,29.6124979408483
789828.8215,9477596.2242,-4.72132047576932,29.6125276925166
789824.1912,9477638.1177,-4.72094203160082,29.6124845669355
789812.5961,9477675.0288,-4.72060885086172,29.612378873226
789808.5376,9477684.008,-4.72052784144913,29.6123420117828
789788.2447,9477728.9039,-4.72012279520022,29.6121577011571
789767.7672,9477775.7948,-4.71969972575302,29.6119716605743
789755.3064,9477819.6882,-4.71930347333999,29.6118579335746
789742.9017,9477859.592,-4.71894327389893,29.6117448470099
789739.9401,9477887.521,-4.71869097328256,29.6117172258045
789741.2484,9477920.4341,-4.71839348535494,29.61172789808
789754.0796,9477948.3528,-4.71814074228724,29.6118425336972
789771.3061,9477981.2556,-4.71784280770637,29.6119965922077
789804.3253,9478014.1481,-4.71754443070906,29.6122929062499
789824.86,9478039.0695,-4.71731851379888,29.6124770334201
789858.8986,9478081.9353,-4.71692997123168,29.6127821923184
789894.1906,9478124.8003,-4.71654139343644,29.6130986411255
789937.9137,9478187.6076,-4.71597230664116,29.6134903597192
789964.6332,9478238.4573,-4.71551186018676,29.6137293200459
789977.8388,9478265.3783,-4.71526812117655,29.6138473610365
789985.0065,9478279.3372,-4.71514172836928,29.6139114530689
789991.7571,9478306.2624,-4.71489817035747,29.6139713497067
789989.2969,9478334.191,-4.71464585677341,29.6139482451416
789977.0124,9478371.1026,-4.71431269491971,29.6138363436096
789969.1826,9478411.0034,-4.71395236787595,29.6137644674136
789972.7553,9478448.9021,-4.71360974764457,29.6137953681753
789978.4145,9478497.7707,-4.71316791923385,29.6138446926765
789986.6547,9478553.6193,-4.71266292352939,29.6139170300164
789995.332,9478608.4703,-4.71216692858886,29.6139933383638
789988.7766,9478623.4355,-4.71203190690097,29.6139337845301
789987.8399,9478625.4309,-4.71201390576964,29.6139252797256
789979.5791,9478632.418,-4.71195104174823,29.6138506339129
789979.7938,9478648.3762,-4.71180681661777,29.6138520287764
789987.3923,9478695.2488,-4.71138296085611,29.6139188895374
789999.0184,9478752.0926,-4.71086885667394,29.6140216924352
790005.3059,9478801.9582,-4.71041799700179,29.614076643325
789996.7473,9478855.823,-4.7099314986737,29.6139977322915
789980.2923,9478909.693,-4.70944522075705,29.6138476942107
789960.6295,9478956.5833,-4.70902212846476,29.6136689977368
789936.8222,9478998.4894,-4.7086442197028,29.6134531380877
789917.2681,9479035.4056,-4.70831126161609,29.6132757579766
789906.8488,9479063.3395,-4.70805916926511,29.613180963171
789904.3653,9479077.3046,-4.70793304749925,29.6131581217478
789900.391,9479099.2498,-4.70773485817969,29.6131215826689
789886.5432,9479138.1572,-4.70738371170274,29.6129955355948
789871.3676,9479170.0837,-4.70709569809375,29.6128577640289
789860.747,9479190.0385,-4.70691572131466,29.6127614256684
789852.2145,9479221.9606,-4.70662752252743,29.6126834923489
789850.2706,9479258.8654,-4.7062940709316,29.6126647380115
789847.6901,9479289.7863,-4.70601471877648,29.6126404513874
789852.1135,9479311.7261,-4.70581629397488,29.6126795553522
789863.5067,9479341.6405,-4.70554556504793,29.6127811709055
789891.788,9479389.497,-4.70511211784776,29.6130343009014
789913.9144,9479429.3783,-4.70475095268755,29.6132322594277
789932.3315,9479462.2803,-4.70445298661787,29.6133970417129
789951.1181,9479491.1925,-4.70419106482329,29.6135652867072
789977.44,9479529.0763,-4.70384780972129,29.6138011030837
789995.9198,9479561.9783,-4.70354984164211,29.6139664498202
790013.0143,9479590.8916,-4.703287967251,29.6141194529311
790028.4333,9479629.7799,-4.70293600325568,29.6142570276021
790042.1752,9479677.6459,-4.70250296255739,29.6143791930996
790055.6071,9479727.5068,-4.70205190404697,29.6144984990122
790059.7422,9479764.4077,-4.70171828248901,29.6145345015221
790056.7462,9479809.2923,-4.70131275166889,29.6145060020175
790057.5731,9479854.1745,-4.70090711322209,29.6145119372567
790064.088,9479890.0764,-4.70058243939399,29.6145694095455
790072.468,9479917.0006,-4.70033883599084,29.6146439842069
790077.4966,9479925.9739,-4.70025757222149,29.6146889764579
790089.4371,9479945.914,-4.70007696529906,29.6147958574119
790106.2166,9479973.8301,-4.69982411386808,29.6149460563499
790130.7721,9480004.7333,-4.69954400440853,29.6151661961221
790164.6704,9480038.6226,-4.69923659296115,29.6154703894291
790204.7963,9480086.4714,-4.69880281589246,29.6158302063229
790206.6797,9480088.465,-4.69878473559984,29.615847103639
790248.8671,9480132.3228,-4.69838695637503,29.6162256233845
790283.0327,9480176.1859,-4.69798940063095,29.6165318871591
790321.4022,9480223.0384,-4.69756468690839,29.6168759159269
790357.5882,9480275.8767,-4.69708595220607,29.6172000749334
790377.1861,9480302.7936,-4.69684203571226,29.6173756926948
790404.7731,9480347.6583,-4.69643565107549,29.6176226658304
790421.3612,9480373.5798,-4.69620083209329,29.6177712066042
790445.5456,9480407.4754,-4.69589369261887,29.6179879008946
790460.3773,9480432.4006,-4.69566793686789,29.6181206545979
790482.1986,9480477.2691,-4.69526171313755,29.6183156934355
790496.1102,9480514.1636,-4.69492781965418,29.6184397557826
790509.7002,9480546.0714,-4.69463900287586,29.6185610894654
790523.8064,9480586.9553,-4.69426904990162,29.6186867700458
790525.0288,9480605.905,-4.69409775641653,29.6186971417042
790526.3781,9480625.852,-4.69391744584641,29.6187086227865
790534.6378,9480655.7684,-4.69364680613422,29.6187820118877
790542.7277,9480696.6563,-4.69327702061181,29.6188535016923
790545.5107,9480749.5164,-4.6927992195046,29.618876787164
790544.9606,9480795.3968,-4.69238460802373,29.618870285837
790546.8678,9480849.2549,-4.69189781742121,29.6188856493948
790551.0606,9480883.1635,-4.69159123705359,29.6189222724084
790550.6851,9480921.0647,-4.69124872924638,29.6189176129999
790547.9809,9480952.9831,-4.69096036788363,29.6188921800445
790552.2114,9480971.9308,-4.69078899082244,29.6189296468795
790562.9579,9480989.8769,-4.69062644515059,29.6190258388008
790575.5318,9481013.8062,-4.69040976638194,29.6191382889673
790582.2525,9481022.7783,-4.69032845659216,29.6191985217617
790583.8852,9481024.772,-4.69031038394797,29.6192131607394
790602.7888,9481048.6972,-4.69009352828182,29.6193826241961
790616.3571,9481067.6388,-4.6899218907397,29.6195041990932
790620.6286,9481073.6204,-4.68986768947959,29.6195424720219
790637.4607,9481095.5521,-4.6896689195149,29.6196933439599
790657.306,9481120.474,-4.68944302469683,29.6198712556952
790676.0249,9481146.3941,-4.68920814705804,29.6200389879419
790695.3344,9481188.2721,-4.68882903497208,29.6202115020538
790704.2324,9481225.1698,-4.68849528281148,29.6202904051312
790705.4315,9481230.156,-4.68845018106332,29.6203010376931
790703.1659,9481262.0741,-4.68816180787706,29.6202795555171
790702.1255,9481277.0357,-4.68802663229623,29.6202696803321
790698.3342,9481295.9886,-4.68785547957788,29.6202348927403
790682.1344,9481314.9496,-4.68768467303352,29.6200883388429
790666.4242,9481326.9286,-4.68757694751623,29.6199464301298
790662.806,9481336.9049,-4.68748691209484,29.6199135041867
790653.1337,9481361.846,-4.68726184153026,29.619825543656
790639.4406,9481380.8054,-4.68709096453443,29.6197015684526
790634.853,9481410.7302,-4.68682068343999,29.6196592392438
790637.5794,9481429.6789,-4.68664934832719,29.6196831584341
790650.6597,9481456.6,-4.68640561533046,29.6198000688915
790666.6787,9481479.5297,-4.68619785410754,29.6199435831663
790672.9757,9481497.4786,-4.68603543378281,29.619999697114
790674.1087,9481500.4701,-4.68600836075795,29.6200098015384
790673.9756,9481533.3842,-4.68571091435594,29.6200074944171
790671.3934,9481563.3077,-4.68544057729574,29.6199832285448
790665.8773,9481600.2148,-4.68510722721392,29.6199323014559
790655.696,9481658.0703,-4.68458472000557,29.6198386490518
790652.2863,9481717.9161,-4.68404399732056,29.6198059229971
790652.2386,9481726.8927,-4.68396287569492,29.619805191244
790651.8237,9481778.7574,-4.68349417857085,29.6197997087475
790654.7703,9481854.5574,-4.68280906010274,29.6198236986357
790655.3565,9481905.4241,-4.68234934828947,29.6198272672017
790664.7099,9481952.2955,-4.68192544683547,29.619909937793
790673.7549,9482002.1593,-4.681474512948,29.6199897299564
790674.1342,9482004.1539,-4.68145647456896,29.6199930792673
790682.8542,9482047.0361,-4.68106864572994,29.6200701790108
790693.3605,9482108.8677,-4.68050950735364,29.620162730848
790707.9587,9482181.6679,-4.67985110567009,29.620291770112
790720.6042,9482248.4851,-4.67924683945981,29.6204034224847
790730.1866,9482282.3902,-4.67894010944227,29.6204885920157
790744.8419,9482314.2973,-4.67865126459445,29.6206195208434
790757.6504,9482366.1534,-4.67818219929894,29.6207331445095
790763.1842,9482415.0221,-4.67774037716241,29.6207813447826
790770.2282,9482429.9784,-4.6776049766993,29.6208442878243
790776.6438,9482443.9377,-4.67747860751433,29.620901604324
790791.6768,9482476.8419,-4.67718073911045,29.6210359014508
790803.7976,9482529.6959,-4.67670267901323,29.6211432973993
790811.5825,9482575.571,-4.67628783481054,29.6212118742578
790830.038,9482631.413,-4.67578255806491,29.6213762268391
790845.5479,9482687.2569,-4.67527736358223,29.6215140481354
790852.9945,9482718.1713,-4.67499773346293,29.621580080871
790860.5038,9482749.0856,-4.67471810215411,29.6216466783576
790873.3423,9482818.8948,-4.67408679101566,29.6217599688922
790881.6225,9482898.6809,-4.67336547064236,29.6218318675383
790885.9478,9482974.48,-4.67268031488806,29.6218682785705
790888.0558,9482998.4161,-4.67246392903888,29.6218864611145
790890.3519,9483022.352,-4.67224753866089,29.6219063379092
790905.0471,9483078.1965,-4.67174236667132,29.6220368214685
790927.3864,9483133.0386,-4.67124599596487,29.6222361890632
790954.6916,9483196.8541,-4.67066836379796,29.62247998288
790983.7333,9483249.697,-4.67018983450588,29.6227397857277
790991.267,9483257.6713,-4.67011751545711,29.6228073736948
791005.8297,9483271.6253,-4.66999091991506,29.6229380707773
791030.1855,9483295.5469,-4.66977391538095,29.6231566390926
791047.9827,9483332.4389,-4.66943991625611,29.6233156984514
791057.5667,9483367.3414,-4.66912417346421,29.6234008486213
